0, Chris, Davis, 0511827863, chris@gmail.com, 8000, 2000, 1
1, Jane, Martinez, 0529914114, jane@gmail.com, 21000, 2006, 0
2, Paul, Jones, 0569433112, paul@gmail.com, 34000, 2005, 0
3, Sara, Williams, 0539177984, sara@gmail.com, 12000, 2000, 1
4, Anna, Davis, 0522654295, anna@gmail.com, 44000, 2009, 0
5, Alex, Brown, 0597275161, alex@gmail.com, 31000, 2022, 0
6, Anna, Hernandez, 0547734795, anna@gmail.com, 23000, 2019, 1
7, Alex, Brown, 0568683737, alex@gmail.com, 50000, 2011, 0
8, Anna, Hernandez, 0519326032, anna@gmail.com, 45000, 2021, 0
9, Anna, Brown, 0580032827, anna@gmail.com, 6000, 2017, 0
10, Mike, Davis, 0559760186, mike@gmail.com, 5000, 2022, 1
11, Alex, Smith, 0591151118, alex@gmail.com, 45000, 2012, 0
12, Chris, Williams, 0520403581, chris@gmail.com, 6000, 2013, 1
13, Mike, Brown, 0588154039, mike@gmail.com, 42000, 2008, 1
14, Paul, Jones, 0541948481, paul@gmail.com, 28000, 2019, 0
15, Anna, Martinez, 0541915479, anna@gmail.com, 33000, 2002, 0
16, Anna, Smith, 0510042569, anna@gmail.com, 10000, 2014, 0
17, Paul, Martinez, 0544797765, paul@gmail.com, 50000, 2003, 1
18, Anna, Martinez, 0546595330, anna@gmail.com, 46000, 2004, 1
19, Chris, Davis, 0507191431, chris@gmail.com, 9000, 2004, 1
20, Alex, Brown, 0563595948, alex@gmail.com, 7000, 2013, 0
21, Paul, Brown, 0515483487, paul@gmail.com, 31000, 2002, 1
22, John, Miller, 0552787050, john@gmail.com, 37000, 2014, 0
23, Paul, Martinez, 0500842037, paul@gmail.com, 19000, 2006, 0
24, Chris, Jones, 0511700281, chris@gmail.com, 18000, 2017, 1
25, Katie, Hernandez, 0586566307, katie@gmail.com, 30000, 2021, 1
26, Sara, Martinez, 0580075139, sara@gmail.com, 23000, 2009, 0
27, Alex, Williams, 0559693436, alex@gmail.com, 47000, 2003, 1
28, Anna, Martinez, 0562990903, anna@gmail.com, 3000, 2019, 1
29, Paul, Williams, 0549834298, paul@gmail.com, 12000, 2009, 0
30, Alex, Garcia, 0582299576, alex@gmail.com, 45000, 2004, 0
31, Sara, Williams, 0591148874, sara@gmail.com, 29000, 2006, 1
32, Tom, Davis, 0527631319, tom@gmail.com, 22000, 2012, 1
33, Sara, Johnson, 0568263489, sara@gmail.com, 44000, 2023, 1
34, Mike, Brown, 0546195767, mike@gmail.com, 17000, 2005, 0
35, Mike, Garcia, 0564252363, mike@gmail.com, 32000, 2020, 1
36, John, Davis, 0526956442, john@gmail.com, 33000, 2017, 0
37, Alex, Davis, 0575415414, alex@gmail.com, 14000, 2001, 1
38, John, Brown, 0585635525, john@gmail.com, 3000, 2022, 0
39, Chris, Garcia, 0537027089, chris@gmail.com, 21000, 2003, 0
40, Chris, Martinez, 0556402474, chris@gmail.com, 41000, 2003, 1
